,sample_id,replica,collection_date,complete_name,country,city,plant,study_accession,sample_accession,experiment_accession,total_reads,scientific_name,sample,pH,Temperature_C,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,BOD_mg_L,Ammonia_NH4_mg_L,Phosphate_PO4_mg_L,DOC_mg_L
54,1007253,1,7/7/20,DTU_2020_1007253_1_MG_RA_CPH_Sewage_714,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117978,ERX11886804,12226933,wastewater metagenome,ERR12510763,8.07,18.5,1.25,1181,162,29.1,10.4,84.9
55,1007271,1,8/19/20,DTU_2020_1007271_1_MG_RA_CPH_Sewage_735,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117979,ERX11886824,13784446,wastewater metagenome,ERR12510783,7.03,17,1.47,1332,200,53.8,10.2,82.8
56,1007271,2,8/19/20,DTU_2020_1007271_2_MG_RA_CPH_Sewage_735,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117979,ERX11886825,32571442,wastewater metagenome,ERR12510784,7.04,18.8,0.72,1069,145,49.4,13.8,72
57,1007167,1,7/27/19,DTU_2020_1007167_1_MG_RA_CPH_Sewage_560,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117980,ERX11886691,14818220,wastewater metagenome,ERR12510650,7.18,17,0.56,1070,202,35.4,10.5,99
58,1007250,1,6/29/20,DTU_2020_1007250_1_MG_RA_CPH_Sewage_711,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117981,ERX11886801,14623110,wastewater metagenome,ERR12510760,7.16,16.6,1.1,1275,161,42.8,11.5,66.6
59,1007181,2,11/17/19,DTU_2020_1007181_2_MG_RA_CPH_Sewage_603,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117971,ERX11886708,13037935,wastewater metagenome,ERR12510667,7.44,9,1.19,929,135,55.4,10.5,81.9
60,1007165,1,6/28/19,DTU_2020_1007165_1_MG_RA_CPH_Sewage_547,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117982,ERX11886689,15203112,wastewater metagenome,ERR12510648,7.28,15.5,0.32,1102,202,35.1,9.2,120.1
61,1007273,2,8/27/20,DTU_2020_1007273_2_MG_RA_CPH_Sewage_741,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118003,ERX11886829,18523901,wastewater metagenome,ERR12510788,7.02,19.3,1.01,1416,101,35.6,11.2,95.9
62,1007234,1,5/14/20,DTU_2020_1007234_1_MG_RA_CPH_Sewage_672,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117983,ERX11886780,18902269,wastewater metagenome,ERR12510739,7.32,11.1,0.74,1375,210,44.7,9.2,90.2
63,1007190,1,12/20/19,DTU_2020_1007190_1_MG_RA_CPH_Sewage_615,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117984,ERX11886724,14975542,wastewater metagenome,ERR12510683,7.19,6.6,1.62,1511,285,52.4,12.4,121.8
64,1007240,1,6/4/20,DTU_2020_1007240_1_MG_RA_CPH_Sewage_690,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117985,ERX11886789,13864780,wastewater metagenome,ERR12510748,6.83,16.5,0.66,1203,267,44.6,9.6,116.6
65,1007237,2,5/28/20,DTU_2020_1007237_2_MG_RA_CPH_Sewage_684,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117993,ERX11886785,15646783,wastewater metagenome,ERR12510744,7.49,12.4,0.21,1372,214,38.7,11.3,145.4
66,1007150,1,1/30/19,DTU_2020_1007150_1_MG_RA_CPH_Sewage_494,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117986,ERX11886681,18794132,wastewater metagenome,ERR12510640,7.19,6.4,1.16,1325,216,55.6,9,139.6
67,1007204,1,2/4/20,DTU_2020_1007204_1_MG_RA_CPH_Sewage_629,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117987,ERX11886740,11977874,wastewater metagenome,ERR12510699,7.17,7.6,1.39,1053,232,58,11.5,111.6
68,1007218,2,3/12/20,DTU_2020_1007218_2_MG_RA_CPH_Sewage_645,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117973,ERX11886758,14209665,wastewater metagenome,ERR12510717,7.4,14,1.55,1084,150,27.8,13,113.1
69,1007259,1,7/23/20,DTU_2020_1007259_1_MG_RA_CPH_Sewage_720,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117988,ERX11886810,13201952,wastewater metagenome,ERR12510769,7.02,18.4,1.78,1219,204,47.8,11,104.5
70,1007153,1,2/18/19,DTU_2020_1007153_1_MG_RA_CPH_Sewage_504,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117989,ERX11886682,16395523,wastewater metagenome,ERR12510641,7.77,6.7,2.04,1439,230,47.1,9.7,131.1
71,1007187,1,12/2/19,DTU_2020_1007187_1_MG_RA_CPH_Sewage_609,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117990,ERX11886719,13123247,wastewater metagenome,ERR12510678,7.68,3.5,1.44,1136,210,41.8,11.6,131.5
72,1007221,1,3/20/20,DTU_2020_1007221_1_MG_RA_CPH_Sewage_648,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117991,ERX11886762,20782184,wastewater metagenome,ERR12510721,7.22,10.1,1.47,1161,140,40,9.5,46.1
73,1007243,1,6/10/20,DTU_2020_1007243_1_MG_RA_CPH_Sewage_696,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117992,ERX11886794,13117065,wastewater metagenome,ERR12510753,7.47,17.7,1.54,1369,189,33.1,15.1,101.2
74,1007237,1,5/28/20,DTU_2020_1007237_1_MG_RA_CPH_Sewage_684,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117993,ERX11886784,14535038,wastewater metagenome,ERR12510743,7.35,12,0.74,1114,178,41.7,8.9,85.7
75,1007174,2,10/13/19,DTU_2020_1007174_2_MG_RA_CPH_Sewage_593,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118007,ERX11886695,11235804,wastewater metagenome,ERR12510654,7.68,9.6,0.44,1364,250,38.4,9.3,92.6
76,1007193,2,1/7/20,DTU_2020_1007193_2_MG_RA_CPH_Sewage_618,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118000,ERX11886729,12267935,wastewater metagenome,ERR12510688,7.02,4.8,2.2,1340,301,60.8,7.7,119.5
77,1007262,1,7/29/20,DTU_2020_1007262_1_MG_RA_CPH_Sewage_723,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117994,ERX11886813,21161776,wastewater metagenome,ERR12510772,7.48,16.2,0.7,1144,228,45.6,9.3,123.2
78,1007277,1,9/28/19,DTU_2020_1007277_1_MG_RA_CPH_Sewage_1_587,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117995,ERX11886834,16851954,wastewater metagenome,ERR12510793,7.45,10.9,1.38,1249,150,62.4,9.6,89.5
79,1007207,1,2/11/20,DTU_2020_1007207_1_MG_RA_CPH_Sewage_632,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117996,ERX11886743,12039078,wastewater metagenome,ERR12510702,6.95,4.9,0.88,1291,199,69,5.8,163.9
80,1007283,1,5/20/20,DTU_2020_1007283_1_MG_RA_CPH_Sewage_1_678,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117997,ERX11886842,17675963,wastewater metagenome,ERR12510801,7.16,11.9,0.96,1194,244,42.9,10.3,92.7
81,1007268,1,8/12/20,DTU_2020_1007268_1_MG_RA_CPH_Sewage_732,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117998,ERX11886820,15399956,wastewater metagenome,ERR12510779,6.87,18.5,0.26,1311,207,40.5,10,107
82,1007190,2,12/20/19,DTU_2020_1007190_2_MG_RA_CPH_Sewage_615,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117984,ERX11886725,16422090,wastewater metagenome,ERR12510684,7.35,4.8,1.11,1261,182,63.2,10.9,135.1
83,1007178,1,11/11/19,DTU_2020_1007178_1_MG_RA_CPH_Sewage_600,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117999,ERX11886702,17442699,wastewater metagenome,ERR12510661,7.55,12.5,0.76,1008,175,55.2,11,85.5
84,1007193,1,1/7/20,DTU_2020_1007193_1_MG_RA_CPH_Sewage_618,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118000,ERX11886728,17390652,wastewater metagenome,ERR12510687,7.15,4.9,0.94,1062,196,47.2,12.1,111
85,1007184,1,11/24/19,DTU_2020_1007184_1_MG_RA_CPH_Sewage_606,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118001,ERX11886713,13169975,wastewater metagenome,ERR12510672,7.35,10.7,1.16,1305,177,56,15.1,98.1
86,1007256,1,7/14/20,DTU_2020_1007256_1_MG_RA_CPH_Sewage_717,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118002,ERX11886807,18633384,wastewater metagenome,ERR12510766,7.29,16.9,1.51,1106,272,47.7,8.9,112.6
87,1007273,1,8/27/20,DTU_2020_1007273_1_MG_RA_CPH_Sewage_741,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118003,ERX11886828,17789002,wastewater metagenome,ERR12510787,6.91,18.9,0.51,1163,197,47,10.4,73.3
88,1007210,1,2/19/20,DTU_2020_1007210_1_MG_RA_CPH_Sewage_635,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118004,ERX11886746,13548078,wastewater metagenome,ERR12510705,7.44,6.9,1.93,1325,268,54.4,6.7,138.6
89,1007196,1,1/14/20,DTU_2020_1007196_1_MG_RA_CPH_Sewage_621,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118005,ERX11886732,13952053,wastewater metagenome,ERR12510691,6.98,6.4,1.07,1358,248,60.5,10.1,130.6
90,1007284,1,5/20/20,DTU_2020_1007284_1_MG_RA_CPH_Sewage_2_678,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118006,ERX11886843,15877704,wastewater metagenome,ERR12510802,7.32,11.2,0.62,1135,188,43.8,9,125.1
91,1007174,1,10/13/19,DTU_2020_1007174_1_MG_RA_CPH_Sewage_593,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118007,ERX11886694,11439644,wastewater metagenome,ERR12510653,7.19,9.7,2.08,1229,241,43.1,10.5,117.8
92,1007154,1,2/18/19,DTU_2020_1007154_1_MG_RD_CPH_Sewage_505,Denmark,Copenhagen,Rensningsanlaeg Damhusaaen,PRJEB68319,SAMEA115118008,ERX11886683,13009585,wastewater metagenome,ERR12510642,7.17,7.6,2.06,1545,235,51.4,12.9,161.6
93,1007175,2,10/13/19,DTU_2020_1007175_2_MG_RD_CPH_Sewage_594,Denmark,Copenhagen,Rensningsanlaeg Damhusaaen,PRJEB68319,SAMEA115118046,ERX11886697,11642481,wastewater metagenome,ERR12510656,7.23,9.4,0.96,1062,160,48.9,9.9,104.7
94,1007185,1,11/24/19,DTU_2020_1007185_1_MG_RD_CPH_Sewage_607,Denmark,Copenhagen,Rensningsanlaeg Damhusaaen,PRJEB68319,SAMEA115118009,ERX11886715,18062498,wastewater metagenome,ERR12510674,7.55,8.5,1.41,1193,227,46,10.8,103.3
95,1007248,1,6/24/20,DTU_2020_1007248_1_MG_RD_CPH_Sewage_709,Denmark,Copenhagen,Rensningsanlaeg Damhusaaen,PRJEB68319,SAMEA115118010,ERX11886799,16357922,wastewater metagenome,ERR12510758,7.91,18.4,0.54,1120,175,37.6,8.7,123.8
96,1007286,1,5/20/20,DTU_2020_1007286_1_MG_RD_CPH_Sewage_2_679,Denmark,Copenhagen,Rensningsanlaeg Damhusaaen,PRJEB68319,SAMEA115118011,ERX11886845,11557604,wastewater metagenome,ERR12510804,7.09,11.1,0.99,1117,225,43.6,7,131
